plot,lat,lon,basin,date,depth
1-1,35.48,-76.299,west,09/15/2015,24
1-2,35.484,-76.3,west,09/15/2015,23
1-3,35.487,-76.3,west,09/15/2015,22
1-4,35.491,-76.3,west,09/15/2015,26
1-5,35.499,-76.299,west,09/15/2015,29
1-6,35.517,-76.299,west,09/15/2015,20
1-7,35.52,-76.301,west,09/15/2015,23.3
1-8,35.524,-76.303,west,09/15/2015,15
2-1,35.532,-76.27,west,09/15/2015,32
2-2,35.529,-76.27,west,09/15/2015,46
2-3,35.526,-76.271,west,09/15/2015,48
2-4,35.517,-76.269,west,09/15/2015,59
2-5,35.51,-76.268,west,09/15/2015,48
2-6,35.505,-76.269,west,09/15/2015,48
2-7,35.4986,-76.269,west,09/15/2015,31
2-8,35.493,-76.268,west,09/15/2015,28
3-1,35.457,-76.234,west,09/15/2015,15
3-2,35.461,-76.234,west,09/15/2015,21
3-3,35.466,-76.232,west,09/15/2015,34
3-4,35.473,-76.236,west,09/15/2015,31
3-5,35.48,-76.238,west,09/15/2015,49
3-6,35.486,-76.238,west,09/15/2015,55
3-7,35.495,-76.239,west,09/15/2015,53
3-8,35.501,-76.24,west,09/15/2015,54
3-9,35.507,-76.24,west,09/15/2015,49
3-10,35.511,-76.241,west,09/15/2015,49
3-11,35.518,-76.24,west,09/15/2015,33
3-12,35.523,-76.241,west,09/15/2015,37
3-13,35.527,-76.242,west,09/15/2015,44
4-1,35.525,-76.226,west,09/15/2015,37
4-2,35.515,-76.226,west,09/15/2015,47
4-3,35.506,-76.225,west,09/15/2015,34
4-4,35.498,-76.224,west,09/15/2015,52
4-5,35.489,-76.229,west,09/15/2015,47
4-6,35.48,-76.22,west,09/15/2015,34
4-7,35.471,-76.222,west,09/15/2015,36
4-8,35.463,-76.223,west,09/15/2015,29
4-9,35.457,-76.222,west,09/15/2015,23
5-1,35.4587,-76.1854,east,07/16/2015,26
5-2,35.4626,-76.1856,east,07/16/2015,30
5-3,35.4685,-76.1857,east,07/16/2015,34
5-4,35.4737,-76.185,east,07/16/2015,38
5-5,35.4777,-76.1844,east,07/16/2015,42
5-6,35.4795,-76.1842,east,07/16/2015,42
5-7,35.4824,-76.1838,east,07/16/2015,43
5-8,35.4857,-76.1833,east,07/16/2015,46
5-9,35.4898,-76.1837,east,07/16/2015,47
5-10,35.4931,-76.1847,east,07/16/2015,48
5-11,35.4976,-76.1898,east,07/16/2015,48
5-12,35.5022,-76.1914,east,07/16/2015,42
5-13,35.5064,-76.192,east,07/16/2015,47
5-14,35.5090,-76.1919,east,07/16/2015,46
5-15,35.5118,-76.1933,east,07/16/2015,45
5-16,35.5156,-76.1945,east,07/16/2015,45
5-17,35.5204,-76.1959,east,07/16/2015,45
5-18,35.5255,-76.1972,east,07/16/2015,43
5-19,35.5322,-76.2003,east,07/16/2015,30
5-20,35.5341,-76.2013,east,07/16/2015,23
5-21,35.5306,-76.2171,east,07/16/2015,22
6-1,35.4707,-76.1474,east,07/16/2015,22
6-2,35.4761,-76.1506,east,07/16/2015,31
6-3,35.4781,-76.1505,east,07/16/2015,33
6-4,35.4809,-76.1506,east,07/16/2015,36
6-5,35.4842,-76.1506,east,07/16/2015,40
6-6,35.4870,-76.1505,east,07/16/2015,41
6-7,35.4896,-76.1504,east,07/16/2015,42
6-8,35.4914,-76.1502,east,07/16/2015,43
6-9,35.4936,-76.15,east,07/16/2015,44
6-10,35.4963,-76.1491,east,07/16/2015,45
6-11,35.4996,-76.1489,east,07/16/2015,44
6-12,35.5026,-76.1485,east,07/16/2015,43
6-13,35.5059,-76.1477,east,07/16/2015,41
6-14,35.5091,-76.1474,east,07/16/2015,41
6-15,35.5133,-76.1475,east,07/16/2015,41
6-16,35.5168,-76.1463,east,07/16/2015,43
6-17,35.5241,-76.1456,east,07/16/2015,43
6-18,35.5316,-76.1448,east,07/16/2015,46
6-19,35.5461,-76.1433,east,07/16/2015,37
6-20,35.5534,-76.1429,east,07/16/2015,36
7-1,35.5590,-76.121,east,08/04/2015,19
7-2,35.5490,-76.121,east,08/04/2015,19
7-3,35.5440,-76.122,east,08/04/2015,29
7-4,35.5400,-76.122,east,08/04/2015,30
7-5,35.5370,-76.122,east,08/04/2015,33
7-6,35.5340,-76.122,east,08/04/2015,35
7-7,35.5300,-76.12,east,08/04/2015,35
7-8,35.5240,-76.121,east,08/04/2015,37
7-9,35.5170,-76.121,east,08/04/2015,36
7-10,35.5130,-76.123,east,08/04/2015,35
7-11,35.5080,-76.12,east,08/04/2015,36
7-12,35.5000,-76.12,east,08/04/2015,34
7-13,35.4950,-76.112,east,08/04/2015,30
7-14,35.4910,-76.116,east,08/04/2015,29
7-15,35.4960,-76.116,east,08/04/2015,33
7-16,35.4860,-76.114,east,08/04/2015,29
8-1,35.5060,-76.092,east,08/04/2015,25
8-2,35.5151,-76.091,east,08/04/2015,30
8-3,35.5180,-76.091,east,08/04/2015,30
8-4,35.5200,-76.09,east,08/04/2015,28
8-5,35.5220,-76.088,east,08/04/2015,25
8-6,35.5260,-76.087,east,08/04/2015,24
8-7,35.5030,-76.085,east,08/04/2015,23
1-1,35.4800,-76.2990,west,08/21/2013,18
1-2,35.4840,-76.3000,west,08/21/2013,17
1-3,35.4870,-76.3000,west,08/21/2013,15
1-4,35.4910,-76.3000,west,08/21/2013,20
1-5,35.4990,-76.2990,west,08/21/2013,21
1-6,35.5170,-76.2990,west,08/21/2013,24
1-7,35.5200,-76.3010,west,08/21/2013,17
1-8,35.5240,-76.3030,west,08/21/2013,9
2-1,35.5320,-76.2700,west,08/21/2013,25
2-2,35.5290,-76.2700,west,08/21/2013,43
2-3,35.5260,-76.2710,west,08/21/2013,46
2-4,35.5170,-76.2690,west,08/21/2013,56
2-5,35.5100,-76.2680,west,08/21/2013,43
2-6,35.5050,-76.2690,west,08/21/2013,44
2-7,35.4986,-76.2690,west,08/21/2013,26
2-8,35.4930,-76.2680,west,08/21/2013,24
3-1,35.4570,-76.2340,west,08/21/2013,7
3-2,35.4610,-76.2340,west,08/21/2013,21
3-3,35.4660,-76.2320,west,08/21/2013,29
3-4,35.4730,-76.2360,west,08/21/2013,26
3-5,35.4800,-76.2380,west,08/21/2013,44
3-6,35.4860,-76.2380,west,08/21/2013,48
3-7,35.4950,-76.2390,west,08/21/2013,49
3-8,35.5010,-76.2400,west,08/21/2013,46
3-9,35.5070,-76.2400,west,08/21/2013,41
3-10,35.5110,-76.2410,west,08/21/2013,41
3-11,35.5180,-76.2400,west,08/21/2013,32
3-12,35.5230,-76.2410,west,08/21/2013,34
3-13,35.5270,-76.2420,west,08/21/2013,34
4-1,35.5250,-76.2260,west,08/21/2013,22
4-2,35.5150,-76.2260,west,08/21/2013,34
4-3,35.5060,-76.2250,west,08/21/2013,29
4-4,35.4980,-76.2240,west,08/21/2013,49
4-5,35.4890,-76.2290,west,08/21/2013,38
4-6,35.4800,-76.2200,west,08/21/2013,27
4-7,35.4710,-76.2220,west,08/21/2013,26
4-8,35.4630,-76.2230,west,08/21/2013,22
4-9,35.4570,-76.2220,west,08/21/2013,15
5-1,35.4587,-76.1854,east,07/24/2013,15
5-2,35.4626,-76.1856,east,07/24/2013,20
5-3,35.4685,-76.1857,east,07/24/2013,24
5-4,35.4737,-76.1850,east,07/24/2013,30
5-5,35.4777,-76.1844,east,07/24/2013,33
5-6,35.4795,-76.1842,east,07/24/2013,34
5-7,35.4824,-76.1838,east,07/24/2013,36
5-8,35.4857,-76.1833,east,07/24/2013,37
5-9,35.4898,-76.1837,east,07/24/2013,38
5-10,35.4931,-76.1847,east,07/24/2013,38
5-11,35.4976,-76.1898,east,07/24/2013,39
5-12,35.5022,-76.1914,east,07/24/2013,39
5-13,35.5064,-76.1920,east,07/24/2013,38
5-14,35.5090,-76.1919,east,07/24/2013,37
5-15,35.5118,-76.1933,east,07/24/2013,36
5-16,35.5156,-76.1945,east,07/24/2013,36
5-17,35.5204,-76.1959,east,07/24/2013,35
5-18,35.5255,-76.1972,east,07/24/2013,33
5-19,35.5322,-76.2003,east,07/24/2013,22
5-20,35.5341,-76.2013,east,07/24/2013,13
5-21,35.5306,-76.2171,east,07/24/2013,10
6-1,35.4707,-76.1474,east,07/24/2013,13.5
6-2,35.4761,-76.1506,east,07/24/2013,24
6-3,35.4781,-76.1505,east,07/24/2013,24
6-4,35.4809,-76.1506,east,07/24/2013,27
6-5,35.4842,-76.1506,east,07/24/2013,31
6-6,35.4870,-76.1505,east,07/24/2013,32
6-7,35.4896,-76.1504,east,07/24/2013,34
6-8,35.4914,-76.1502,east,07/24/2013,35
6-9,35.4936,-76.1500,east,07/24/2013,36
6-10,35.4963,-76.1491,east,07/24/2013,36
6-11,35.4996,-76.1489,east,07/24/2013,35
6-12,35.5026,-76.1485,east,07/24/2013,35
6-13,35.5059,-76.1477,east,07/24/2013,34
6-14,35.5091,-76.1474,east,07/24/2013,33
6-15,35.5133,-76.1475,east,07/24/2013,34
6-16,35.5168,-76.1463,east,07/24/2013,35
6-17,35.5241,-76.1456,east,07/24/2013,36
6-18,35.5316,-76.1448,east,07/24/2013,37
6-19,35.5461,-76.1433,east,07/24/2013,29
6-20,35.5534,-76.1429,east,07/24/2013,17
7-1,35.5590,-76.1210,east,08/29/2013,14
7-2,35.5490,-76.1210,east,08/29/2013,21
7-3,35.5440,-76.1220,east,08/29/2013,24
7-4,35.5400,-76.1220,east,08/29/2013,25
7-5,35.5370,-76.1220,east,08/29/2013,25
7-6,35.5340,-76.1220,east,08/29/2013,26
7-7,35.5300,-76.1200,east,08/29/2013,25
7-8,35.5240,-76.1210,east,08/29/2013,29
7-9,35.5170,-76.1210,east,08/29/2013,28
7-10,35.5130,-76.1230,east,08/29/2013,28
7-11,35.5080,-76.1200,east,08/29/2013,29
7-12,35.5000,-76.1200,east,08/29/2013,26
7-13,35.4950,-76.1120,east,08/29/2013,22
7-14,35.4910,-76.1160,east,08/29/2013,21
7-15,35.4960,-76.1160,east,08/29/2013,20
7-16,35.4860,-76.1140,east,08/29/2013,23
8-1,35.5060,-76.0920,east,08/29/2013,19
8-2,35.5151,-76.0910,east,08/29/2013,23
8-3,35.5180,-76.0910,east,08/29/2013,22
8-4,35.5200,-76.0900,east,08/29/2013,20
8-5,35.5220,-76.0880,east,08/29/2013,18
8-6,35.5260,-76.0870,east,08/29/2013,17
8-7,35.5030,-76.0850,east,08/29/2013,14
1-1,35.4800,-76.2990,west,08/07/2014,25
1-2,35.4840,-76.3000,west,08/07/2014,25
1-3,35.4870,-76.3000,west,08/07/2014,24
1-4,35.4910,-76.3000,west,08/07/2014,28
1-5,35.4990,-76.2990,west,08/07/2014,30
1-6,35.5170,-76.2990,west,08/07/2014,30
1-7,35.5200,-76.3010,west,08/07/2014,25
1-8,35.5240,-76.3030,west,08/07/2014,17
2-1,35.5320,-76.2700,west,08/07/2014,35
2-2,35.5290,-76.2700,west,08/07/2014,47
2-3,35.5260,-76.2710,west,08/07/2014,50
2-4,35.5170,-76.2690,west,08/07/2014,58
2-5,35.5100,-76.2680,west,08/07/2014,50
2-6,35.5050,-76.2690,west,08/07/2014,49
2-7,35.4986,-76.2690,west,08/07/2014,33
2-8,35.4930,-76.2680,west,08/07/2014,29
3-1,35.4570,-76.2340,west,08/07/2014,16
3-2,35.4610,-76.2340,west,08/07/2014,22
3-3,35.4660,-76.2320,west,08/07/2014,35
3-4,35.4730,-76.2360,west,08/07/2014,35
3-5,35.4800,-76.2380,west,08/07/2014,48
3-6,35.4860,-76.2380,west,08/07/2014,54
3-7,35.4950,-76.2390,west,08/07/2014,52
3-8,35.5010,-76.2400,west,08/07/2014,53.5
3-9,35.5070,-76.2400,west,08/07/2014,50
3-10,35.5110,-76.2410,west,08/07/2014,50
3-11,35.5180,-76.2400,west,08/07/2014,35
3-12,35.5230,-76.2410,west,08/07/2014,37
3-13,35.5270,-76.2420,west,08/07/2014,42
4-1,35.5250,-76.2260,west,08/07/2014,37
4-2,35.5150,-76.2260,west,08/07/2014,43
4-3,35.5060,-76.2250,west,08/07/2014,38
4-4,35.4980,-76.2240,west,08/07/2014,53
4-5,35.4890,-76.2290,west,08/07/2014,42
4-6,35.4800,-76.2200,west,08/07/2014,35
4-7,35.4710,-76.2220,west,08/07/2014,35
4-8,35.4630,-76.2230,west,08/07/2014,30
4-9,35.4570,-76.2220,west,08/07/2014,24
5-1,35.4587,-76.1854,east,07/29/2014,18
5-2,35.4626,-76.1856,east,07/29/2014,24
5-3,35.4685,-76.1857,east,07/29/2014,30
5-4,35.4737,-76.1850,east,07/29/2014,33
5-5,35.4777,-76.1844,east,07/29/2014,36
5-6,35.4795,-76.1842,east,07/29/2014,38
5-7,35.4824,-76.1838,east,07/29/2014,38
5-8,35.4857,-76.1833,east,07/29/2014,39
5-9,35.4898,-76.1837,east,07/29/2014,41
5-10,35.4931,-76.1847,east,07/29/2014,41
5-11,35.4976,-76.1898,east,07/29/2014,43
5-12,35.5022,-76.1914,east,07/29/2014,42
5-13,35.5064,-76.1920,east,07/29/2014,41
5-14,35.5090,-76.1919,east,07/29/2014,40
5-15,35.5118,-76.1933,east,07/29/2014,38
5-16,35.5156,-76.1945,east,07/29/2014,38
5-17,35.5204,-76.1959,east,07/29/2014,37
5-18,35.5255,-76.1972,east,07/29/2014,35
5-19,35.5322,-76.2003,east,07/29/2014,24
5-20,35.5341,-76.2013,east,07/29/2014,18
5-21,35.5306,-76.2171,east,NA,NA
6-1,35.4707,-76.1474,east,07/29/2014,15.5
6-2,35.4761,-76.1506,east,07/29/2014,26
6-3,35.4781,-76.1505,east,07/29/2014,26
6-4,35.4809,-76.1506,east,07/29/2014,28
6-5,35.4842,-76.1506,east,07/29/2014,32
6-6,35.4870,-76.1505,east,07/29/2014,35
6-7,35.4896,-76.1504,east,07/29/2014,35.5
6-8,35.4914,-76.1502,east,07/29/2014,37
6-9,35.4936,-76.1500,east,07/29/2014,39
6-10,35.4963,-76.1491,east,07/29/2014,39
6-11,35.4996,-76.1489,east,07/29/2014,38
6-12,35.5026,-76.1485,east,07/29/2014,38
6-13,35.5059,-76.1477,east,07/29/2014,36.5
6-14,35.5091,-76.1474,east,07/29/2014,36
6-15,35.5133,-76.1475,east,07/29/2014,36
6-16,35.5168,-76.1463,east,07/29/2014,37
6-17,35.5241,-76.1456,east,07/29/2014,38
6-18,35.5316,-76.1448,east,07/29/2014,39
6-19,35.5461,-76.1433,east,07/29/2014,30
6-20,35.5534,-76.1429,east,07/29/2014,19.5
7-1,35.5590,-76.1210,east,07/30/2014,13
7-2,35.5490,-76.1210,east,07/30/2014,23
7-3,35.5440,-76.1220,east,07/30/2014,25
7-4,35.5400,-76.1220,east,07/30/2014,27
7-5,35.5370,-76.1220,east,07/30/2014,28
7-6,35.5340,-76.1220,east,07/30/2014,29
7-7,35.5300,-76.1200,east,07/30/2014,29
7-8,35.5240,-76.1210,east,07/30/2014,30
7-9,35.5170,-76.1210,east,07/30/2014,30
7-10,35.5130,-76.1230,east,07/30/2014,31
7-11,35.5080,-76.1200,east,07/30/2014,31
7-12,35.5000,-76.1200,east,07/30/2014,28
7-13,35.4950,-76.1120,east,07/30/2014,25
7-14,35.4910,-76.1160,east,07/30/2014,23
7-15,35.4960,-76.1160,east,07/30/2014,27
7-16,35.4860,-76.1140,east,07/30/2014,25
8-1,35.5060,-76.0920,east,07/30/2014,23
8-2,35.5151,-76.0910,east,07/30/2014,25
8-3,35.5180,-76.0910,east,07/30/2014,24
8-4,35.5200,-76.0900,east,07/30/2014,22
8-5,35.5220,-76.0880,east,07/30/2014,20
8-6,35.5260,-76.0870,east,07/30/2014,19
8-7,35.5030,-76.0850,east,07/30/2014,17